W: 0 	 B: 1
W: 1 	 B: 0.909091
W: 2 	 B: 0.819672
W: 3 	 B: 0.732064
W: 4 	 B: 0.646663
W: 5 	 B: 0.563952
W: 6 	 B: 0.484515
W: 7 	 B: 0.409041
W: 8 	 B: 0.338318
W: 9 	 B: 0.273208
W: 10 	 B: 0.214582
W: 11 	 B: 0.163232
W: 12 	 B: 0.119739
W: 13 	 B: 0.0843389
W: 14 	 B: 0.0568191
W: 15 	 B: 0.0364969
W: 16 	 B: 0.0223019
W: 17 	 B: 0.0129489
W: 18 	 B: 0.00714244
W: 19 	 B: 0.0037451
W: 20 	 B: 0.00186905
W: 21 	 B: 0.000889232
W: 22 	 B: 0.000404033
W: 23 	 B: 0.000175636
W: 24 	 B: 7.31762e-05
W: 25 	 B: 2.92696e-05
