Mic Cost: 0 	 Mac Cost: 276 	 Total: 276
Mic Cost: 1 	 Mac Cost: 267 	 Total: 268
Mic Cost: 2 	 Mac Cost: 258 	 Total: 260
Mic Cost: 3 	 Mac Cost: 249 	 Total: 252
Mic Cost: 4 	 Mac Cost: 240 	 Total: 244
Mic Cost: 5 	 Mac Cost: 234 	 Total: 239
Mic Cost: 6 	 Mac Cost: 225 	 Total: 231
Mic Cost: 7 	 Mac Cost: 216 	 Total: 223
Mic Cost: 8 	 Mac Cost: 207 	 Total: 215
Mic Cost: 9 	 Mac Cost: 198 	 Total: 207
Mic Cost: 10 	 Mac Cost: 189 	 Total: 199
Mic Cost: 11 	 Mac Cost: 180 	 Total: 191
Mic Cost: 12 	 Mac Cost: 174 	 Total: 186
Mic Cost: 13 	 Mac Cost: 165 	 Total: 178
Mic Cost: 14 	 Mac Cost: 156 	 Total: 170
Mic Cost: 15 	 Mac Cost: 147 	 Total: 162
Mic Cost: 16 	 Mac Cost: 141 	 Total: 157
Mic Cost: 17 	 Mac Cost: 132 	 Total: 149
Mic Cost: 18 	 Mac Cost: 123 	 Total: 141
Mic Cost: 19 	 Mac Cost: 117 	 Total: 136
Mic Cost: 20 	 Mac Cost: 108 	 Total: 128
Mic Cost: 21 	 Mac Cost: 102 	 Total: 123
Mic Cost: 22 	 Mac Cost: 93 	 Total: 115
Mic Cost: 23 	 Mac Cost: 87 	 Total: 110
Mic Cost: 24 	 Mac Cost: 78 	 Total: 102
Mic Cost: 25 	 Mac Cost: 78 	 Total: 103
Mic Cost: 26 	 Mac Cost: 81 	 Total: 107
Mic Cost: 27 	 Mac Cost: 84 	 Total: 111
Mic Cost: 28 	 Mac Cost: 87 	 Total: 115
Mic Cost: 29 	 Mac Cost: 90 	 Total: 119
Mic Cost: 30 	 Mac Cost: 93 	 Total: 123
Mic Cost: 31 	 Mac Cost: 96 	 Total: 127
Mic Cost: 32 	 Mac Cost: 99 	 Total: 131
Mic Cost: 33 	 Mac Cost: 102 	 Total: 135
Mic Cost: 34 	 Mac Cost: 105 	 Total: 139
Mic Cost: 35 	 Mac Cost: 108 	 Total: 143
Mic Cost: 36 	 Mac Cost: 111 	 Total: 147
Mic Cost: 37 	 Mac Cost: 114 	 Total: 151
Mic Cost: 38 	 Mac Cost: 117 	 Total: 155
Mic Cost: 39 	 Mac Cost: 120 	 Total: 159
Mic Cost: 40 	 Mac Cost: 123 	 Total: 163
Mic Cost: 41 	 Mac Cost: 126 	 Total: 167
Mic Cost: 42 	 Mac Cost: 129 	 Total: 171
Mic Cost: 43 	 Mac Cost: 132 	 Total: 175
Mic Cost: 44 	 Mac Cost: 135 	 Total: 179
Mic Cost: 45 	 Mac Cost: 138 	 Total: 183
Mic Cost: 46 	 Mac Cost: 141 	 Total: 187
Mic Cost: 47 	 Mac Cost: 144 	 Total: 191
Mic Cost: 48 	 Mac Cost: 147 	 Total: 195
Mic Cost: 49 	 Mac Cost: 150 	 Total: 199
Mic Cost: 50 	 Mac Cost: 153 	 Total: 203
Mic Cost: 51 	 Mac Cost: 156 	 Total: 207
Mic Cost: 52 	 Mac Cost: 159 	 Total: 211
Mic Cost: 53 	 Mac Cost: 162 	 Total: 215
Mic Cost: 54 	 Mac Cost: 165 	 Total: 219
Mic Cost: 55 	 Mac Cost: 168 	 Total: 223
Mic Cost: 56 	 Mac Cost: 171 	 Total: 227
Mic Cost: 57 	 Mac Cost: 174 	 Total: 231
Mic Cost: 58 	 Mac Cost: 177 	 Total: 235
Mic Cost: 59 	 Mac Cost: 180 	 Total: 239
Mic Cost: 60 	 Mac Cost: 183 	 Total: 243
Mic Cost: 61 	 Mac Cost: 186 	 Total: 247
Mic Cost: 62 	 Mac Cost: 189 	 Total: 251
Mic Cost: 63 	 Mac Cost: 192 	 Total: 255
Mic Cost: 64 	 Mac Cost: 195 	 Total: 259
Mic Cost: 65 	 Mac Cost: 198 	 Total: 263
Mic Cost: 66 	 Mac Cost: 201 	 Total: 267
Mic Cost: 67 	 Mac Cost: 204 	 Total: 271
Mic Cost: 68 	 Mac Cost: 207 	 Total: 275
Mic Cost: 69 	 Mac Cost: 210 	 Total: 279
Mic Cost: 70 	 Mac Cost: 213 	 Total: 283
Mic Cost: 71 	 Mac Cost: 216 	 Total: 287
Mic Cost: 72 	 Mac Cost: 219 	 Total: 291
Mic Cost: 73 	 Mac Cost: 222 	 Total: 295
Mic Cost: 74 	 Mac Cost: 225 	 Total: 299
Mic Cost: 75 	 Mac Cost: 228 	 Total: 303
Mic Cost: 76 	 Mac Cost: 231 	 Total: 307
Mic Cost: 77 	 Mac Cost: 234 	 Total: 311
Mic Cost: 78 	 Mac Cost: 237 	 Total: 315
Mic Cost: 79 	 Mac Cost: 240 	 Total: 319
Mic Cost: 80 	 Mac Cost: 243 	 Total: 323
Mic Cost: 81 	 Mac Cost: 246 	 Total: 327
Mic Cost: 82 	 Mac Cost: 249 	 Total: 331
Mic Cost: 83 	 Mac Cost: 252 	 Total: 335
Mic Cost: 84 	 Mac Cost: 255 	 Total: 339
Mic Cost: 85 	 Mac Cost: 258 	 Total: 343
Mic Cost: 86 	 Mac Cost: 261 	 Total: 347
Mic Cost: 87 	 Mac Cost: 264 	 Total: 351
Mic Cost: 88 	 Mac Cost: 267 	 Total: 355
Mic Cost: 89 	 Mac Cost: 270 	 Total: 359
Mic Cost: 90 	 Mac Cost: 273 	 Total: 363
Mic Cost: 91 	 Mac Cost: 276 	 Total: 367
Mic Cost: 92 	 Mac Cost: 279 	 Total: 371
Mic Cost: 93 	 Mac Cost: 282 	 Total: 375
Mic Cost: 94 	 Mac Cost: 285 	 Total: 379
Mic Cost: 95 	 Mac Cost: 288 	 Total: 383
Mic Cost: 96 	 Mac Cost: 291 	 Total: 387
Mic Cost: 97 	 Mac Cost: 294 	 Total: 391
