Nmic: 0 	 Nmac: 92 	 Astar: 75.2054 	 Ex: 0.00931134
Nmic: 1 	 Nmac: 89 	 Astar: 74.9968 	 Ex: 0.00946002
Nmic: 2 	 Nmac: 86 	 Astar: 74.7584 	 Ex: 0.00962173
Nmic: 3 	 Nmac: 83 	 Astar: 74.4859 	 Ex: 0.00979832
Nmic: 4 	 Nmac: 80 	 Astar: 74.1744 	 Ex: 0.00999203
Nmic: 5 	 Nmac: 78 	 Astar: 73.8161 	 Ex: 0.00829881
Nmic: 6 	 Nmac: 75 	 Astar: 73.4082 	 Ex: 0.00849415
Nmic: 7 	 Nmac: 72 	 Astar: 72.9413 	 Ex: 0.00871171
Nmic: 8 	 Nmac: 69 	 Astar: 72.407 	 Ex: 0.00895565
Nmic: 9 	 Nmac: 66 	 Astar: 71.7956 	 Ex: 0.0092312
Nmic: 10 	 Nmac: 63 	 Astar: 71.0965 	 Ex: 0.00954508
Nmic: 11 	 Nmac: 60 	 Astar: 70.2981 	 Ex: 0.00990592
Nmic: 12 	 Nmac: 58 	 Astar: 69.3863 	 Ex: 0.00833151
Nmic: 13 	 Nmac: 55 	 Astar: 68.3511 	 Ex: 0.00873015
Nmic: 14 	 Nmac: 52 	 Astar: 67.1776 	 Ex: 0.00920316
Nmic: 15 	 Nmac: 49 	 Astar: 65.8527 	 Ex: 0.00976947
Nmic: 16 	 Nmac: 47 	 Astar: 64.3666 	 Ex: 0.00835051
Nmic: 17 	 Nmac: 44 	 Astar: 62.7084 	 Ex: 0.00900212
Nmic: 18 	 Nmac: 41 	 Astar: 60.873 	 Ex: 0.00977197
Nmic: 19 	 Nmac: 39 	 Astar: 58.8679 	 Ex: 0.00844079
Nmic: 20 	 Nmac: 36 	 Astar: 56.6844 	 Ex: 0.0092767
Nmic: 21 	 Nmac: 34 	 Astar: 54.3565 	 Ex: 0.00805725
Nmic: 22 	 Nmac: 31 	 Astar: 51.8664 	 Ex: 0.00908047
Nmic: 23 	 Nmac: 29 	 Astar: 49.2807 	 Ex: 0.00814955
Nmic: 24 	 Nmac: 26 	 Astar: 46.5392 	 Ex: 0.00977704
Nmic: 25 	 Nmac: 26 	 Astar: 45.4532 	 Ex: 0.0054478
Nmic: 26 	 Nmac: 27 	 Astar: 43.2306 	 Ex: 0.00204823
Nmic: 27 	 Nmac: 28 	 Astar: 41.11 	 Ex: 0.000666017
Nmic: 28 	 Nmac: 29 	 Astar: 39.1114 	 Ex: 0.000188655
Nmic: 29 	 Nmac: 30 	 Astar: 37.2447 	 Ex: 4.70226e-05
Nmic: 30 	 Nmac: 31 	 Astar: 35.5097 	 Ex: 1.04238e-05
Nmic: 31 	 Nmac: 32 	 Astar: 33.8985 	 Ex: 2.07502e-06
Nmic: 32 	 Nmac: 33 	 Astar: 32.3961 	 Ex: 3.73734e-07
Nmic: 33 	 Nmac: 34 	 Astar: 30.9826 	 Ex: 6.1174e-08
Nmic: 34 	 Nmac: 35 	 Astar: 29.6337 	 Ex: 9.10297e-09
Nmic: 35 	 Nmac: 36 	 Astar: 28.3227 	 Ex: 1.22575e-09
Nmic: 36 	 Nmac: 37 	 Astar: 27.0236 	 Ex: 1.47846e-10
Nmic: 37 	 Nmac: 38 	 Astar: 25.7141 	 Ex: 1.57278e-11
